Base Influx Rate (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.034210393,0.008609891
0.0001,0.2,0.046315159,0.010160034
0.0001,0.3,0.052798347,0.022370443
0.0001,0.4,0.060068381,0.019622916
0.0001,0.5,0.065649379,0.020927972
0.0001,0.6,0.068540647,0.018686457
0.0002,0.1,0.037880701,0.016048501
0.0002,0.2,0.0504531,0.016623504
0.0002,0.3,0.058622649,0.022471458
0.0002,0.4,0.051306859,0.007658836
0.0002,0.5,0.056786772,0.010746428
0.0002,0.6,0.068373078,0.025445113
0.0003,0.1,0.035226022,0.014557073
0.0003,0.2,0.051006768,0.015967591
0.0003,0.3,0.050303818,0.017932547
0.0003,0.4,0.061530283,0.018749257
0.0003,0.5,0.083199709,0.023186905
0.0003,0.6,0.065942104,0.020907834
0.0004,0.1,0.031851608,0.007407023
0.0004,0.2,0.046996875,0.010684532
0.0004,0.3,0.047923054,0.008509179
0.0004,0.4,0.058948024,0.014341529
0.0004,0.5,0.067480443,0.020360323
0.0004,0.6,0.070646662,0.01638639
0.0005,0.1,0.028087938,0.002316215
0.0005,0.2,0.04328916,0.009176577
0.0005,0.3,0.053567367,0.012630991
0.0005,0.4,0.060681092,0.017723356
0.0005,0.5,0.071998212,0.024584797
0.0005,0.6,0.056624031,0.013736881
0.0006,0.1,0.029918085,0.007119663
0.0006,0.2,0.046199977,0.015142674
0.0006,0.3,0.054096328,0.015719961
0.0006,0.4,0.060418856,0.020686886
0.0006,0.5,0.077557732,0.024825261
0.0006,0.6,0.071560526,0.017463866
