input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.03053499922620048,0.0
0.0001,0.2,0.041376900488773585,0.0
0.0001,0.3,0.046288116224023165,0.0
0.0001,0.4,0.06608020427847183,0.0
0.0001,0.5,0.062444757858931915,0.0
0.0001,0.6,0.057256706395605046,0.0
0.0002,0.1,0.03176099541030655,0.0
0.0002,0.2,0.04593731637891792,0.0
0.0002,0.3,0.04836003236751926,0.0
0.0002,0.4,0.07319848996326225,0.0
0.0002,0.5,0.08413042245916526,0.0
0.0002,0.6,0.09937532972990423,0.0
0.0003,0.1,0.03267238002265116,0.0
0.0003,0.2,0.07195758500233634,0.0
0.0003,0.3,0.13613076026485835,0.0
0.0003,0.4,0.06086294738895138,0.0
0.0003,0.5,0.06330422343465518,0.0
0.0003,0.6,0.05775952472163995,0.0
0.0004,0.1,0.031071011984953992,0.0
0.0004,0.2,0.0402019358725719,0.0
0.0004,0.3,0.04819171310445243,0.0
0.0004,0.4,0.05277674562759853,0.0
0.0004,0.5,0.05923831232117655,0.0
0.0004,0.6,0.08342285533683719,0.0
0.0005,0.1,0.0310994024496314,0.0
0.0005,0.2,0.04645397503944758,0.0
0.0005,0.3,0.04637551735272672,0.0
0.0005,0.4,0.06187253357693253,0.0
0.0005,0.5,0.05668812350500106,0.0
0.0005,0.6,0.06272055837073608,0.0
0.0006,0.1,0.0401442075048255,0.0
0.0006,0.2,0.04278343290284046,0.0
0.0006,0.3,0.1165163715706383,0.0
0.0006,0.4,0.06773039687228137,0.0
0.0006,0.5,0.0542573640191935,0.0
0.0006,0.6,0.062162652798539955,0.0
