input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,14715.98388370431,15377.437868207533
0.0001,0.2,5815.086535504079,6256.61347479669
0.0001,0.3,7803.799247217568,10344.611425339352
0.0001,0.4,4189.840260064902,5305.65215426278
0.0001,0.5,1641.0474015361729,1880.9364075744525
0.0001,0.6,8212.335638720888,11289.436372750324
0.0002,0.1,13959.888097028703,13717.010516571443
0.0002,0.2,12087.552215377505,25083.917296061736
0.0002,0.3,6596.0525281615755,9938.34540301109
0.0002,0.4,3345.2147995237415,6999.693273373702
0.0002,0.5,1543.4104458414895,1658.3331450465496
0.0002,0.6,2774.38588243314,6681.367127690469
0.0003,0.1,6648.43353485172,13479.577123767616
0.0003,0.2,24150.560923730278,68795.69216272596
0.0003,0.3,3570.248766731249,3601.1165182560844
0.0003,0.4,1870.5974793971716,2935.268704461371
0.0003,0.5,8394.87165122052,16088.915257318198
0.0003,0.6,387.6182519160955,664.3148759527626
0.0004,0.1,7465.595423288489,16436.337876036894
0.0004,0.2,11185.674417754624,24940.956490653374
0.0004,0.3,4867.899238885327,4158.309963648713
0.0004,0.4,10349.63706339995,23880.320021302203
0.0004,0.5,3051.873371851039,5548.877015032042
0.0004,0.6,4250.686582252291,4375.516059104463
0.0005,0.1,5363.552659590916,6883.107121823466
0.0005,0.2,6201.208389263602,8074.831030192448
0.0005,0.3,1798.4376453380332,2471.248427268995
0.0005,0.4,4526.872774487443,7628.919016905091
0.0005,0.5,1317.4924885850583,1124.6163841978655
0.0005,0.6,2868.3608253793145,4361.3352689229805
0.0006,0.1,1531.8950542730852,1402.0598664278891
0.0006,0.2,6168.374892773778,6116.25427491737
0.0006,0.3,6967.836066991744,10913.774279288857
0.0006,0.4,4308.000893767805,5453.155220374666
0.0006,0.5,2232.4766579109714,2630.2520711140173
0.0006,0.6,7477.850801156618,8855.895794703469
