input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.042658765125988755,0.008476099588843947
0.0001,0.2,0.06914286990249106,0.009342496134619268
0.0001,0.3,0.08236026643556346,0.011721443360129776
0.0001,0.4,0.10899276477668729,0.02139558611878207
0.0001,0.5,0.1442453615692771,0.009043350695023588
0.0001,0.6,0.19220935282231588,0.008869991643292103
0.0002,0.1,0.047164344880446976,0.009115343642128636
0.0002,0.2,0.06545811990833893,0.00926050831405642
0.0002,0.3,0.07880090269220212,0.01189041117446331
0.0002,0.4,0.09947523346878749,0.011507244286076072
0.0002,0.5,0.14227097180712733,0.005202957488888201
0.0002,0.6,0.19549397510630323,0.009108886346748514
0.0003,0.1,0.04671117536654698,0.00834690176841707
0.0003,0.2,0.0703376309450752,0.01260615715127633
0.0003,0.3,0.08254775648442339,0.013064161460350228
0.0003,0.4,0.10038387746530511,0.009958892510659395
0.0003,0.5,0.14394658710930086,0.006202143613665506
0.0003,0.6,0.19260098939499767,0.008828535332255244
0.0004,0.1,0.046725156250768625,0.007602351837775357
0.0004,0.2,0.07293705601526321,0.014124792871323217
0.0004,0.3,0.07810615642860533,0.013180984663501634
0.0004,0.4,0.0985185745039546,0.013681082256549511
0.0004,0.5,0.1453566873018852,0.007860653147371487
0.0004,0.6,0.19515150291116884,0.005539972926047973
0.0005,0.1,0.0452603244381787,0.008180329525634454
0.0005,0.2,0.06723468246351298,0.012021262468424594
0.0005,0.3,0.07647066435423908,0.012955888597887967
0.0005,0.4,0.10670081974396853,0.019181053948814877
0.0005,0.5,0.1459491466620455,0.00683429741463622
0.0005,0.6,0.1930394473710762,0.006441101672433601
0.0006,0.1,0.04720838771811462,0.009374917840325382
0.0006,0.2,0.06709633612804544,0.007352190622763031
0.0006,0.3,0.08182617862730507,0.012749091010267813
0.0006,0.4,0.10110044028312233,0.011652781617789407
0.0006,0.5,0.1434458485213214,0.005882565139504371
0.0006,0.6,0.19398826406883488,0.00924756261612401
