input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,122.62568463598556,68.88621218433865
0.0001,0.2,164.26311928908095,71.83981011505966
0.0001,0.3,146.2894531947655,79.44540299217134
0.0001,0.4,465.1425268300156,535.7158348966977
0.0001,0.5,579.3519383250875,697.2796126977967
0.0001,0.6,584.4764976100507,1099.1767738252038
0.0002,0.1,124.59111393926894,131.16850509740013
0.0002,0.2,240.0328180166892,257.2711367719713
0.0002,0.3,130.2485287808518,70.58367888056874
0.0002,0.4,238.84110121394738,188.5614066071035
0.0002,0.5,1430.2422965275407,1814.8089000104335
0.0002,0.6,1103.6940093428282,2525.096558011422
0.0003,0.1,194.24195446625515,117.29843115032303
0.0003,0.2,148.53290749043862,108.82062485115267
0.0003,0.3,227.05854586558354,296.1825984732601
0.0003,0.4,874.5666593145276,1853.0576516134906
0.0003,0.5,615.5671123399397,762.4657071622298
0.0003,0.6,747.4513974034385,874.8757818886842
0.0004,0.1,203.71323469803306,101.829423238644
0.0004,0.2,165.96944496978224,115.44222489848175
0.0004,0.3,172.61895541123144,175.49032464691842
0.0004,0.4,186.14693955713722,113.4832723211177
0.0004,0.5,994.3171456914828,785.2511693901076
0.0004,0.6,584.2298058844931,981.4064946485162
0.0005,0.1,178.78871544003385,114.98924583020529
0.0005,0.2,302.2670936372234,326.4687476186176
0.0005,0.3,165.13018375591736,133.3676462416785
0.0005,0.4,557.2853239115415,736.1360674290826
0.0005,0.5,745.5774232172507,729.3567671025041
0.0005,0.6,344.43526836861355,458.6968489888722
0.0006,0.1,198.8762545850159,111.20450106861453
0.0006,0.2,137.50135704356603,114.43064887145898
0.0006,0.3,173.20355669757458,90.34205232784241
0.0006,0.4,805.6090619405892,1908.6596473474958
0.0006,0.5,90668.290646378,265318.0633433217
0.0006,0.6,984.097751380272,1662.8926163882984
