input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.025148552853507714,0.0
0.0001,0.2,0.037247678818962966,0.0
0.0001,0.3,0.06337088166902817,0.0
0.0001,0.4,0.05434510584982539,0.0
0.0001,0.5,0.04815556214926269,0.0
0.0001,0.6,0.06715232854883084,0.0
0.0002,0.1,0.03045881168426011,0.0
0.0002,0.2,0.03458467780709506,0.0
0.0002,0.3,0.050224090617085694,0.0
0.0002,0.4,0.04031320274486513,0.0
0.0002,0.5,0.051768551156302633,0.0
0.0002,0.6,0.04852740001851995,0.0
0.0003,0.1,0.02722278670266357,0.0
0.0003,0.2,0.030446610118729678,0.0
0.0003,0.3,0.04447914625096374,0.0
0.0003,0.4,0.04504380729055873,0.0
0.0003,0.5,0.049653768252041486,0.0
0.0003,0.6,0.05108822451024337,0.0
0.0004,0.1,0.025009032169218903,0.0
0.0004,0.2,0.03488510561039246,0.0
0.0004,0.3,0.06011534787885484,0.0
0.0004,0.4,0.04521342235664031,0.0
0.0004,0.5,0.0694088275177419,0.0
0.0004,0.6,0.07758493240455937,0.0
0.0005,0.1,0.02594613676460991,0.0
0.0005,0.2,0.04699852231192827,0.0
0.0005,0.3,0.04163925459391947,0.0
0.0005,0.4,0.04257245513607914,0.0
0.0005,0.5,0.05344627543105778,0.0
0.0005,0.6,0.06241240520963969,0.0
0.0006,0.1,0.025312095159321465,0.0
0.0006,0.2,0.04864898078897602,0.0
0.0006,0.3,0.039373652217174794,0.0
0.0006,0.4,0.04333271242843739,0.0
0.0006,0.5,0.05222363199376876,0.0
0.0006,0.6,0.06002151515530785,0.0
