input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,7123.044945963906,11303.514699545352
0.0001,0.2,3325.272961642574,2793.128706971067
0.0001,0.3,2245.83355158302,3984.36828767743
0.0001,0.4,1220.2017568589365,1610.26713053037
0.0001,0.5,584.2618872257681,696.4544145600624
0.0001,0.6,3942.2034927768036,7292.708067403737
0.0002,0.1,6965.03907394552,9593.895475375184
0.0002,0.2,6351.088944335972,5781.628989755995
0.0002,0.3,4018.459448750798,5648.700174154348
0.0002,0.4,1527.6701855844128,1686.1685970297306
0.0002,0.5,1647.995563448952,1731.3117918684818
0.0002,0.6,3010.538674744151,4361.58105636694
0.0003,0.1,5913.336730179946,7301.023498151583
0.0003,0.2,2094.082461683972,4307.390899846295
0.0003,0.3,5005.06554651246,8500.603026628252
0.0003,0.4,1592.7022466669657,2043.8406857735326
0.0003,0.5,1507.9032728560699,1982.800057599858
0.0003,0.6,1571.1828888931782,1237.841591556843
0.0004,0.1,7305.497454643051,9400.02475782779
0.0004,0.2,3048.746968770365,4473.621421798464
0.0004,0.3,1059.5739213500547,1163.531702619848
0.0004,0.4,2344.3211889543372,2867.3121042437124
0.0004,0.5,842.849334954752,1004.2145584780156
0.0004,0.6,857.8044286366088,718.9402835096247
0.0005,0.1,6392.095946558706,9714.223418735288
0.0005,0.2,3330.9528808088085,5109.910909655636
0.0005,0.3,1741.439432373593,2851.349709607083
0.0005,0.4,2559.59962457671,2779.312300063669
0.0005,0.5,1587.9501493731266,3264.9159400872422
0.0005,0.6,2406.4480220575683,3122.8214500391737
0.0006,0.1,5329.352701165891,11048.038882969799
0.0006,0.2,2409.870892490525,1904.2823353875547
0.0006,0.3,1541.6665171463787,1874.9937693322913
0.0006,0.4,5852.308368504111,9918.13834548355
0.0006,0.5,1690.6241456003663,2406.421098284149
0.0006,0.6,2121.998611310841,3413.9293675857075
