input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.044658454598708416,0.010490628492850247
0.0001,0.2,0.05393124246853731,0.01225245591815633
0.0001,0.3,0.06134497578563695,0.015769420661361326
0.0001,0.4,0.06055292220909965,0.014976653632472681
0.0001,0.5,0.06941165657972617,0.015869944371181697
0.0001,0.6,0.06413907686351554,0.015580436103335576
0.0002,0.1,0.04719548231361462,0.010145235988186493
0.0002,0.2,0.04998334429215269,0.014340524119663137
0.0002,0.3,0.05799832187427365,0.011163915890659428
0.0002,0.4,0.057457788735967276,0.013427202552992075
0.0002,0.5,0.0658464554872866,0.011829901345021822
0.0002,0.6,0.06457193128882148,0.01952777596195585
0.0003,0.1,0.044400092385085445,0.008470825987660661
0.0003,0.2,0.0588380497534786,0.008232331693914005
0.0003,0.3,0.061770230553129024,0.009971293188363536
0.0003,0.4,0.061158128736687745,0.015493191618268294
0.0003,0.5,0.05989965165748175,0.009628531257612538
0.0003,0.6,0.06814214179202842,0.015672039968794082
0.0004,0.1,0.043896179023783365,0.007609749677912776
0.0004,0.2,0.0560614803504772,0.014697299560176468
0.0004,0.3,0.05751748805757687,0.007484513245585384
0.0004,0.4,0.07388682426512744,0.017433929854315598
0.0004,0.5,0.06984634031877984,0.02500972526138644
0.0004,0.6,0.0638803215036668,0.01457852757922258
0.0005,0.1,0.043633631358801474,0.009433255478925897
0.0005,0.2,0.05389976986676923,0.007766243004976239
0.0005,0.3,0.05216087979377433,0.01148016404705094
0.0005,0.4,0.05331854960564771,0.011112514511813656
0.0005,0.5,0.05889817829775592,0.016321169240175182
0.0005,0.6,0.07463426613782981,0.02301199341337764
0.0006,0.1,0.046701183879500736,0.011331912420942362
0.0006,0.2,0.04987805694631901,0.00985803177162224
0.0006,0.3,0.05274376240906518,0.006920172804966508
0.0006,0.4,0.058525284566428595,0.008952255492802473
0.0006,0.5,0.062169953086702055,0.012898677357030833
0.0006,0.6,0.0634532416779869,0.014663277535407311
