input range (species/sec),tau (sec),fitness_means,fitness_stds
0.0001,0.1,235.20415979532655,87.24657765314176
0.0001,0.2,174.58106193684785,113.16780426047515
0.0001,0.3,178.61590525456893,91.32454261065563
0.0001,0.4,218.3540328088796,172.05853493415057
0.0001,0.5,494.90115346984965,586.1430517692404
0.0001,0.6,187.76071029939908,88.78572431175351
0.0002,0.1,162.3719224759047,53.66520118313898
0.0002,0.2,143.48258585680654,45.007817471289606
0.0002,0.3,203.79035389141154,120.54488311226307
0.0002,0.4,312.3386429454648,321.88819200309564
0.0002,0.5,186.4798502432116,85.04160227733365
0.0002,0.6,271.1545970143319,109.90600357724082
0.0003,0.1,162.85507971654945,43.690876305509626
0.0003,0.2,198.75564649004872,62.65562990730805
0.0003,0.3,204.38443670088336,114.36481895560263
0.0003,0.4,236.24442044246695,98.37082154000804
0.0003,0.5,198.07279440759555,90.87848906664901
0.0003,0.6,316.22792975797364,379.2567986797019
0.0004,0.1,168.15234249668927,49.88802817080855
0.0004,0.2,179.25329029450364,59.05238167004995
0.0004,0.3,150.54427328663604,59.92077469682588
0.0004,0.4,156.0873649138005,57.692970781078486
0.0004,0.5,972.3348547668453,1809.4605035944958
0.0004,0.6,292.7260171169656,137.86953199977762
0.0005,0.1,183.49858408057247,49.27183795801164
0.0005,0.2,182.955232681438,70.33750220735901
0.0005,0.3,270.3748062762471,201.6351746097184
0.0005,0.4,189.27857088197817,128.0807748222941
0.0005,0.5,211.65364711128282,82.8804779091358
0.0005,0.6,465.2080287134966,516.7194931565718
0.0006,0.1,166.8988386597744,32.65701309213581
0.0006,0.2,177.83585763065085,114.40437357229095
0.0006,0.3,195.92876639294244,90.4187499334542
0.0006,0.4,494.7851446201463,803.4739669487387
0.0006,0.5,214.8441628566476,91.42219727064331
0.0006,0.6,256.23602680182836,215.73302213235715
