input range (species/sec),tau (sec),NRMSE_means,NRMSE_stds
0.0001,0.1,0.044359283342254384,0.007453769728103263
0.0001,0.2,0.052280513431009576,0.012655372842984057
0.0001,0.3,0.058213915631365264,0.013573876899136349
0.0001,0.4,0.060680555156637395,0.01173901737932523
0.0001,0.5,0.07139493084577292,0.01385601348312968
0.0001,0.6,0.06537655545765533,0.011037201431486105
0.0002,0.1,0.047341388474803084,0.010591027753387517
0.0002,0.2,0.050497834880413206,0.008424558994903165
0.0002,0.3,0.05932999479112132,0.010474753344609419
0.0002,0.4,0.06146353302056784,0.011056911439837459
0.0002,0.5,0.06314769342669375,0.014295354316507617
0.0002,0.6,0.06399064922315374,0.013793828273155298
0.0003,0.1,0.04218328461741308,0.008807043487324105
0.0003,0.2,0.058434231750323216,0.022659608320864395
0.0003,0.3,0.05798399353639726,0.009360551774892768
0.0003,0.4,0.060706557627158986,0.014664449102193134
0.0003,0.5,0.06383484146635596,0.012505720818183371
0.0003,0.6,0.061202425924569356,0.011408029313612789
0.0004,0.1,0.041636036373847427,0.007214340539995596
0.0004,0.2,0.05609519560514398,0.011540373889552261
0.0004,0.3,0.056300088902728564,0.012052665404565812
0.0004,0.4,0.05983544491753272,0.013468454110702986
0.0004,0.5,0.060901298330192644,0.014235181022944991
0.0004,0.6,0.060396642224882835,0.012050066423244313
0.0005,0.1,0.0444676973958398,0.008592790243500579
0.0005,0.2,0.05268157350844109,0.01102671022285933
0.0005,0.3,0.05906394423565329,0.010947223777866484
0.0005,0.4,0.06219128958261568,0.013646088174210029
0.0005,0.5,0.06312579378871383,0.012275097142517273
0.0005,0.6,0.05759388395951894,0.014540339349052045
0.0006,0.1,0.042506778176058385,0.009314935115417096
0.0006,0.2,0.056335861896582816,0.012170383462728692
0.0006,0.3,0.06015560566318423,0.0150487254748321
0.0006,0.4,0.062243247948398826,0.014781381226429616
0.0006,0.5,0.06535226872395535,0.00988605812834297
0.0006,0.6,0.06786484076593875,0.013715416199140247
