Time,U0,U1,U2,U3,L0,L1,L2,L3,U2L2,U0L1,U0L0,U0L3,U0L2,U1L0,U1L3,U1L1,U1L2,U2L3,U2L1,U2L0,U3L0,U3L1,U3L3,U3L2
0.0,753.0,822.0,850.0,848.0,195.0,846.0,205.0,58.0,51.0,402.0,141.0,976.0,809.0,746.0,831.0,691.0,72.0,584.0,544.0,571.0,106.0,579.0,894.0,706.0
1e-05,754.0,820.0,851.0,846.0,196.0,840.0,207.0,59.0,53.0,408.0,140.0,973.0,806.0,746.0,832.0,692.0,72.0,583.0,542.0,571.0,106.0,580.0,896.0,705.0
2e-05,754.0,817.0,853.0,844.0,196.0,832.0,211.0,60.0,53.0,411.0,139.0,971.0,806.0,746.0,834.0,693.0,72.0,580.0,542.0,572.0,106.0,584.0,898.0,701.0
3.0000000000000004e-05,753.0,817.0,853.0,841.0,193.0,829.0,211.0,62.0,53.0,413.0,141.0,969.0,805.0,746.0,834.0,693.0,72.0,579.0,542.0,573.0,106.0,585.0,899.0,702.0
4e-05,757.0,816.0,852.0,838.0,192.0,829.0,211.0,62.0,54.0,413.0,141.0,966.0,804.0,745.0,835.0,694.0,72.0,579.0,540.0,575.0,106.0,586.0,901.0,702.0
5e-05,759.0,816.0,854.0,832.0,192.0,822.0,215.0,63.0,55.0,415.0,141.0,965.0,801.0,745.0,835.0,695.0,71.0,577.0,539.0,575.0,106.0,591.0,903.0,701.0
6.000000000000001e-05,761.0,812.0,853.0,830.0,190.0,818.0,215.0,64.0,57.0,418.0,140.0,962.0,800.0,746.0,837.0,695.0,72.0,574.0,539.0,577.0,106.0,592.0,906.0,699.0
7.000000000000001e-05,760.0,811.0,854.0,826.0,190.0,811.0,217.0,64.0,57.0,421.0,140.0,960.0,800.0,746.0,838.0,696.0,71.0,573.0,539.0,577.0,106.0,595.0,908.0,698.0
8e-05,761.0,814.0,853.0,822.0,190.0,807.0,218.0,66.0,59.0,422.0,140.0,959.0,799.0,746.0,837.0,696.0,69.0,572.0,539.0,577.0,106.0,598.0,909.0,698.0
9e-05,766.0,813.0,851.0,818.0,190.0,807.0,216.0,66.0,62.0,422.0,140.0,958.0,795.0,745.0,838.0,697.0,69.0,570.0,538.0,579.0,105.0,598.0,911.0,701.0
0.0001,767.0,815.0,849.0,815.0,189.0,804.0,218.0,66.0,63.0,425.0,139.0,957.0,793.0,745.0,837.0,696.0,69.0,570.0,537.0,581.0,105.0,600.0,913.0,700.0
0.00011,767.0,815.0,849.0,813.0,189.0,799.0,219.0,68.0,64.0,428.0,139.0,956.0,791.0,742.0,838.0,698.0,69.0,568.0,536.0,583.0,106.0,601.0,913.0,700.0
