Time,U0,U1,U2,U3,L0,L1,L2,L3,U3L3,U0L1,U0L0,U0L3,U0L2,U1L3,U1L0,U1L2,U1L1,U2L0,U2L1,U2L3,U2L2,U3L0,U3L2,U3L1
0.0,945.0,448.0,9.0,82.0,47.0,210.0,278.0,174.0,135.0,170.0,801.0,952.0,31.0,652.0,278.0,669.0,606.0,261.0,472.0,168.0,477.0,629.0,334.0,740.0
1e-05,944.8,447.1,9.3,82.2,47.0,209.6,278.2,173.6,135.2,169.8,800.7,952.4,31.3,651.7,278.3,668.8,607.1,260.9,472.0,168.1,476.7,629.1,334.0,739.5
2e-05,943.4,447.4,9.6,82.0,47.2,209.4,277.6,173.2,135.5,169.7,800.0,953.0,32.9,651.2,278.5,667.7,608.2,260.8,472.1,168.1,476.4,629.5,334.4,738.6
3.0000000000000004e-05,942.4,446.4,10.7,82.1,47.3,209.7,276.4,173.2,135.7,169.6,799.5,953.1,34.4,650.9,279.3,667.4,609.0,260.3,472.0,168.1,475.9,629.6,334.9,737.7
4e-05,941.1,445.8,11.6,82.0,47.4,209.4,275.7,173.0,135.8,169.6,799.0,953.3,36.0,650.7,279.7,666.9,609.9,260.1,471.8,168.2,475.3,629.8,335.1,737.3
5.000000000000001e-05,939.3,446.8,11.9,81.7,47.8,209.2,275.3,172.4,136.2,169.6,798.8,953.7,37.6,650.2,279.7,665.8,610.5,259.7,471.8,168.5,475.1,630.0,335.2,736.9
6.000000000000001e-05,937.8,447.0,12.6,81.6,48.6,209.2,274.4,171.8,136.4,169.6,798.0,954.0,39.6,649.9,280.1,664.9,611.1,259.3,471.5,168.9,474.7,630.0,335.4,736.6
7e-05,936.3,447.4,13.1,81.4,49.2,209.3,273.0,171.7,136.5,169.6,797.2,955.0,40.9,648.7,280.4,664.8,611.7,259.1,471.1,169.1,474.6,630.1,335.7,736.3
8e-05,934.9,446.5,13.6,81.7,49.5,208.9,272.2,171.1,136.9,170.0,796.5,955.1,42.5,648.6,280.8,664.5,612.6,259.1,471.0,169.3,474.0,630.1,335.8,735.5
9e-05,934.3,445.6,14.2,81.7,50.0,208.4,271.8,170.6,137.3,170.1,795.4,955.5,43.7,648.3,281.8,663.9,613.4,258.8,471.0,169.3,473.7,630.0,335.9,735.1
0.00010000000000000002,932.5,446.4,14.7,81.6,50.3,208.2,271.5,170.2,137.5,170.1,795.0,955.9,45.5,647.7,282.1,662.9,613.9,258.6,471.0,169.7,473.0,630.0,336.1,734.8
0.00011,931.2,446.4,15.0,81.8,50.7,208.0,271.1,169.6,137.7,170.1,794.1,956.8,46.8,647.1,282.7,662.2,614.6,258.6,470.9,169.8,472.7,629.9,336.2,734.4
0.00012000000000000002,930.1,446.0,15.6,81.8,51.1,207.9,270.3,169.2,137.7,170.0,793.2,957.2,48.5,646.8,283.2,661.7,615.3,258.5,470.7,170.1,472.1,630.0,336.4,734.1
0.00013,928.5,446.3,16.2,81.7,51.6,208.0,269.9,168.2,138.1,169.7,792.8,957.9,50.1,646.3,283.3,660.9,616.2,258.3,470.4,170.5,471.6,630.0,336.5,733.7
0.00014,928.0,445.6,17.0,81.9,51.6,208.1,269.6,168.2,138.6,169.6,792.2,957.9,51.3,645.8,284.1,660.3,617.2,258.2,470.1,170.5,471.2,629.9,336.6,733.0
0.00015,926.9,446.1,17.5,81.4,52.2,208.1,268.9,167.7,139.2,169.6,791.5,958.2,52.8,645.3,284.5,659.4,617.7,257.9,469.9,170.6,471.1,629.9,336.8,732.7
0.00016,925.9,445.9,17.9,81.7,52.4,208.4,268.7,166.9,139.5,169.6,790.8,958.7,54.0,644.7,285.2,658.5,618.7,257.8,469.3,171.2,470.8,629.8,337.0,732.0
0.00017,925.4,445.9,17.9,81.6,52.8,208.5,267.9,166.6,139.7,169.4,789.9,959.2,55.1,644.3,285.6,658.1,619.1,257.8,469.4,171.2,470.7,629.9,337.2,731.6
0.00018,923.5,446.0,18.7,81.9,52.9,208.6,267.5,166.1,139.9,169.6,789.4,959.7,56.8,644.0,285.8,656.9,620.3,257.8,469.2,171.3,470.0,630.1,337.8,730.3
