Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.0,265.0,946.0,298.0,456.0,273.0,76.0,921.0,239.0,114.0,596.0,151.0,526.0,529.0,933.0,168.0,420.0,294.0,415.0,702.0
1e-05,264.5,944.5,297.1,456.5,273.0,75.7,918.5,239.5,113.9,598.3,151.0,526.4,529.1,933.6,168.9,419.7,292.9,414.7,701.8
2e-05,264.9,942.1,296.4,457.0,273.0,76.3,916.0,239.2,113.9,601.0,150.8,526.2,529.1,935.1,169.8,418.9,291.7,414.2,701.8
3.0000000000000004e-05,264.4,940.1,295.7,457.7,273.0,76.7,913.1,239.4,113.7,603.5,150.6,526.7,529.3,935.6,171.3,417.8,291.0,413.6,701.7
4e-05,264.5,938.2,295.9,457.8,273.0,77.6,911.0,239.2,113.6,605.7,150.5,526.6,529.4,936.5,172.3,416.1,290.3,413.5,701.7
5.000000000000001e-05,264.9,936.3,295.2,458.4,273.0,78.0,909.0,239.3,113.5,608.3,150.2,526.4,529.5,937.6,173.1,415.4,289.1,413.3,701.3
6.000000000000001e-05,264.5,934.4,294.3,458.8,273.0,78.5,905.9,239.4,113.2,611.0,149.9,526.8,529.8,938.8,173.8,414.9,287.8,412.9,701.3
7e-05,264.2,933.2,292.8,459.2,273.0,79.4,902.7,239.2,113.1,614.1,149.8,527.1,529.9,939.5,174.3,413.8,287.3,412.7,701.1
8e-05,264.2,932.0,292.2,459.5,273.0,80.2,900.5,239.1,113.1,616.2,149.7,527.2,529.9,939.9,175.1,412.6,287.0,412.4,701.1
9e-05,263.9,929.7,291.3,460.1,273.0,80.5,897.8,238.7,113.0,618.6,149.6,527.5,530.0,941.1,176.2,411.9,286.2,411.8,701.1
0.00010000000000000002,263.4,927.4,291.5,460.8,273.0,81.1,895.3,238.7,113.0,620.6,149.6,528.0,530.0,942.4,177.2,411.0,284.9,411.1,701.1
0.00011,263.3,925.8,290.9,461.2,273.0,81.1,893.3,238.8,113.0,622.9,149.8,527.9,530.0,943.1,178.1,410.1,284.1,410.9,700.9
0.00012000000000000002,263.5,923.8,289.0,462.7,273.0,81.6,890.9,238.6,112.9,625.9,149.8,527.6,530.1,943.6,179.6,409.3,283.8,409.7,700.6
0.00013,263.8,922.5,287.8,463.0,273.0,81.6,889.0,238.7,112.8,628.2,149.5,527.5,530.2,944.2,180.3,408.9,283.1,409.7,700.3
0.00014,264.1,921.1,287.2,462.9,273.0,82.2,886.9,238.6,112.6,630.3,149.2,527.3,530.4,944.5,181.4,407.6,282.9,409.6,700.5
0.00015,264.0,919.0,286.7,463.7,273.0,82.3,884.8,238.8,112.5,632.2,149.1,527.4,530.5,944.9,183.1,406.8,282.3,408.7,700.6
0.00016,263.9,917.6,286.1,464.3,273.0,82.2,883.3,238.9,112.5,633.9,149.0,527.6,530.5,945.5,183.9,406.4,281.6,408.5,700.2
0.00017,263.9,914.9,284.8,465.0,273.0,82.2,880.9,238.1,112.4,636.4,149.0,527.5,530.6,946.8,185.3,405.7,281.1,407.8,700.2
0.00018,264.1,912.5,284.4,465.6,273.0,82.3,879.0,238.1,112.2,638.4,148.8,527.3,530.8,947.9,186.6,405.2,280.0,407.1,700.3
0.00019000000000000004,264.2,911.2,283.6,465.9,273.0,83.0,876.8,237.9,112.2,640.8,148.8,527.2,530.8,948.6,187.2,404.1,279.5,406.9,700.2
0.00020000000000000004,264.2,908.9,283.4,466.8,273.0,83.2,874.9,238.1,112.1,643.1,148.9,527.0,530.9,949.7,188.4,403.3,278.2,406.2,700.0
0.00021000000000000006,264.2,907.8,281.8,467.5,273.0,83.6,872.4,238.2,112.1,645.9,148.7,527.2,530.9,950.2,189.0,402.7,277.6,406.0,699.5
0.00022,264.6,905.8,280.6,467.9,273.0,83.5,870.5,237.8,112.1,648.2,148.7,526.8,530.9,951.3,189.9,402.3,276.9,405.6,699.5
0.00023,264.5,904.5,279.7,468.2,273.0,83.4,868.6,237.9,112.0,650.3,149.0,526.5,531.0,951.5,191.0,401.4,276.6,405.2,699.6
0.00024000000000000003,264.1,902.4,278.9,468.8,273.0,83.5,866.0,237.9,111.8,652.4,148.8,526.9,531.2,952.3,192.3,400.9,275.8,404.5,699.7
0.00025000000000000006,264.4,900.7,277.7,469.0,273.0,83.7,863.4,237.9,111.8,655.1,148.7,526.7,531.2,953.0,193.3,400.1,275.1,404.2,699.8
0.00026,264.3,898.6,277.1,469.6,273.0,83.6,861.7,237.6,111.7,656.7,148.6,526.8,531.3,953.9,194.5,399.7,274.5,403.6,699.8
0.00026999999999999995,263.6,896.8,276.9,470.0,273.0,83.6,859.6,237.5,111.6,658.4,148.5,527.5,531.4,955.1,195.1,399.3,273.4,403.5,699.5
0.00028,263.9,895.2,275.4,470.3,273.0,84.0,856.9,237.6,111.3,661.5,148.1,527.3,531.7,955.9,195.9,398.6,272.5,403.4,699.3
