Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U3L3,U0L3,U0L4,U0L1,U1L2,U1L4,U2L4,U2L0,U2L3,U3L2,U3L0
0.0,920.0,163.0,123.0,235.0,856.0,887.0,226.0,177.0,522.0,741.0,429.0,736.0,695.0,168.0,273.0,4.0,414.0,492.0,868.0,436.0
1e-05,918.6,162.6,122.7,234.0,851.2,886.8,229.2,176.9,520.8,741.8,430.1,736.1,695.2,168.2,273.2,4.9,415.2,490.2,864.6,439.6
2e-05,916.2,161.8,123.3,233.6,847.9,886.5,231.6,176.5,519.4,742.6,431.2,737.1,695.5,168.9,273.3,5.2,415.8,488.7,861.5,442.3
3.0000000000000004e-05,914.4,161.2,123.7,232.7,842.9,886.4,234.4,176.9,518.4,743.5,432.3,737.7,695.6,169.5,273.3,5.6,417.4,486.3,858.1,445.7
4e-05,912.1,160.8,124.4,231.5,838.4,885.9,237.0,176.7,517.8,744.4,433.6,738.2,696.1,170.0,273.2,5.8,418.5,484.3,855.0,449.1
5.000000000000001e-05,911.4,160.4,125.0,230.2,835.6,885.4,239.1,176.9,517.0,745.9,434.0,738.0,696.6,170.2,273.4,6.6,419.2,482.2,852.7,451.2
6.000000000000001e-05,909.8,159.7,124.8,229.2,832.0,884.9,240.7,177.2,515.7,746.5,434.9,738.2,697.1,170.9,273.4,7.7,420.1,480.4,850.4,453.9
7e-05,908.2,159.2,125.1,228.8,828.4,884.5,243.3,177.0,515.1,747.4,436.0,738.3,697.5,171.6,273.2,8.4,420.9,478.6,847.1,456.7
8e-05,907.0,158.5,125.3,228.5,824.7,884.2,245.5,177.0,514.9,748.1,437.1,738.1,697.8,172.5,273.0,9.0,421.9,476.8,844.0,459.4
9e-05,905.9,157.8,125.2,227.1,820.8,883.8,247.1,177.0,514.3,748.8,438.2,737.7,698.2,173.4,272.8,10.2,422.6,475.0,841.5,462.6
0.00010000000000000002,905.1,157.5,125.4,226.0,817.6,883.9,248.8,176.4,514.3,749.5,439.7,737.1,698.1,173.6,272.9,10.7,423.5,473.4,839.6,464.9
0.00011,904.1,157.0,125.2,224.7,813.8,883.2,250.3,177.2,513.5,750.4,440.1,737.0,698.8,174.0,273.0,11.5,425.0,471.3,837.7,467.2
0.00012000000000000002,903.4,156.2,124.8,224.0,810.3,883.2,251.8,176.9,513.2,750.8,441.1,736.7,698.8,174.7,273.1,12.0,426.0,470.2,835.5,469.7
0.00013,902.2,155.6,125.5,222.4,807.0,882.7,253.7,176.8,512.5,751.9,441.7,736.8,699.3,175.1,273.3,12.4,426.5,468.6,833.2,472.5
0.00014,900.7,154.8,125.8,221.4,804.8,881.7,255.1,176.2,511.9,753.3,442.6,736.4,700.3,175.8,273.4,13.3,427.0,466.9,831.1,474.2
0.00015,899.6,154.2,126.0,220.3,801.8,881.6,257.0,176.0,510.7,754.6,443.0,737.0,700.4,176.3,273.5,13.8,427.8,465.4,828.7,476.4
0.00016,897.6,153.9,126.2,218.8,798.3,880.6,258.4,175.4,510.8,755.7,444.1,736.9,701.4,177.0,273.1,14.2,428.8,463.8,826.6,478.9
0.00017,895.3,153.2,126.1,217.8,795.0,880.1,260.6,174.8,508.9,756.8,444.9,737.9,701.9,177.6,273.2,15.0,429.4,462.5,823.8,481.6
0.00018,894.3,152.6,127.0,215.9,791.5,879.9,262.3,175.5,507.6,757.9,445.2,738.4,702.1,178.1,273.3,15.7,429.9,460.4,821.6,484.6
0.00019000000000000004,892.8,152.2,127.5,214.8,788.2,879.1,265.1,174.8,507.1,759.3,446.3,738.0,702.9,178.4,273.4,16.5,430.4,458.6,818.5,487.4
0.00020000000000000004,890.9,151.9,128.0,213.8,785.5,878.9,266.1,174.6,506.5,760.1,447.7,738.3,703.1,178.7,273.4,16.8,431.6,456.6,817.2,488.9
0.00021000000000000006,889.7,151.4,128.6,212.7,782.7,878.9,267.4,174.7,505.7,761.3,448.3,738.9,703.1,179.3,273.3,17.1,432.6,454.7,815.3,490.7
0.00022,888.7,150.7,128.8,211.7,779.4,878.4,269.4,174.3,505.4,762.2,449.0,738.7,703.6,180.1,273.2,17.7,433.0,453.5,812.5,493.6
0.00023,887.5,150.2,128.9,211.4,777.1,878.0,270.7,174.3,504.9,762.6,450.0,738.5,704.0,180.7,273.1,18.5,433.5,452.1,810.6,495.4
0.00024000000000000003,886.7,150.1,128.7,210.6,773.7,877.6,273.2,173.9,504.7,763.1,450.7,738.2,704.4,180.8,273.1,19.0,434.0,451.3,808.0,498.3
0.00025000000000000006,886.0,149.2,128.7,209.6,771.2,877.7,274.5,173.2,503.9,764.2,451.7,738.0,704.3,181.4,273.4,19.7,434.7,449.9,806.1,500.1
0.00026,885.0,148.2,129.4,208.6,768.4,877.4,275.1,173.7,503.6,764.8,452.5,737.9,704.6,182.4,273.4,20.1,435.5,448.0,804.5,502.1
0.00026999999999999995,882.6,147.8,129.5,207.5,765.1,877.2,276.4,173.2,502.5,765.6,453.8,738.8,704.8,183.2,273.0,20.7,436.4,446.4,802.4,504.5
0.00028,881.0,147.5,130.1,206.0,762.0,876.9,278.1,172.6,502.0,766.8,454.8,739.1,705.1,183.6,272.9,21.0,437.1,444.8,800.3,506.9
0.00028999999999999995,879.1,147.2,130.6,204.7,757.8,876.2,280.4,172.6,501.6,767.6,455.6,739.5,705.8,184.2,272.6,21.3,437.9,443.2,797.4,510.3
0.0003,878.2,146.7,130.8,204.0,754.2,875.9,282.6,172.8,501.2,768.4,456.4,739.3,706.1,184.7,272.6,21.9,438.9,441.4,794.7,512.9
0.00031,876.9,146.2,131.2,202.8,751.6,875.6,284.2,171.6,501.1,769.1,457.6,739.1,706.4,185.1,272.7,22.1,439.0,440.7,792.7,515.4
0.00032,875.5,145.9,131.3,201.8,749.0,874.9,285.5,171.2,500.9,770.0,458.6,738.8,707.1,185.6,272.5,22.8,439.7,439.2,790.9,517.3
0.00033000000000000005,873.5,145.4,131.1,201.2,746.5,873.9,286.5,170.6,500.7,770.8,459.7,738.7,708.1,186.1,272.5,23.1,440.9,437.9,789.4,518.6
0.00034,872.0,145.2,130.5,200.6,742.8,873.6,289.0,170.1,499.8,771.7,460.9,738.7,708.4,186.4,272.4,24.1,442.1,436.3,786.6,521.1
0.00035000000000000005,871.0,144.7,130.2,200.2,739.8,873.3,291.1,170.0,498.9,772.1,461.6,738.7,708.7,186.8,272.5,24.9,442.6,435.3,784.1,523.6
0.00036,870.5,144.2,130.2,199.5,737.3,872.9,292.8,169.9,498.5,772.8,462.0,738.4,709.1,187.3,272.5,25.6,442.9,434.3,781.9,525.8
0.00037000000000000005,868.8,143.9,129.7,199.0,735.4,872.0,294.1,169.2,497.7,773.8,462.8,738.4,710.0,187.7,272.4,26.5,443.6,433.2,780.2,527.0
0.0003800000000000001,867.5,143.2,130.4,197.5,731.7,871.4,295.6,169.7,497.2,774.7,463.5,738.4,710.6,188.3,272.5,26.9,444.6,431.1,778.1,529.7
0.0003900000000000001,866.3,142.8,131.1,196.7,729.5,871.1,297.2,170.2,495.9,775.6,464.1,738.7,710.9,188.4,272.8,27.6,445.2,429.1,776.4,531.3
0.0004000000000000001,865.0,142.4,131.0,195.8,726.9,870.3,298.5,170.0,495.5,776.3,464.9,738.4,711.7,189.0,272.6,28.5,445.7,427.8,774.5,533.4
0.0004100000000000001,863.5,142.0,131.6,194.4,724.5,869.6,299.4,169.7,495.3,777.7,465.6,738.5,712.4,189.8,272.2,29.0,446.4,426.0,772.8,535.1
0.0004200000000000001,862.1,142.0,131.4,193.5,721.6,869.5,301.2,169.1,494.6,778.2,466.4,739.0,712.5,189.9,272.1,29.3,447.0,425.3,770.9,537.4
0.00042999999999999994,861.0,141.5,131.6,192.3,718.2,869.4,303.0,168.9,493.9,779.1,467.2,739.2,712.6,190.2,272.3,29.6,448.0,423.8,768.8,539.8
0.00044,859.0,141.0,131.8,191.6,714.3,868.5,305.4,169.2,493.0,779.5,468.2,739.3,713.5,190.5,272.5,30.2,448.9,422.1,766.1,542.8
0.00045,858.2,140.6,131.8,190.4,711.2,868.6,307.0,168.8,492.4,780.3,469.0,739.4,713.4,190.8,272.6,30.6,449.7,420.9,764.2,545.1
0.00046,858.1,140.4,130.7,189.7,707.6,868.7,308.2,169.7,491.7,780.6,469.6,739.0,713.3,191.1,272.5,31.8,451.4,419.1,762.7,547.0
0.00047000000000000004,857.2,140.1,130.4,188.7,704.1,868.0,310.1,170.3,490.9,781.3,469.8,739.0,714.0,191.6,272.3,32.8,452.2,417.6,760.3,549.7
0.00048000000000000007,855.9,139.2,130.4,188.3,701.8,867.3,311.4,170.0,490.3,782.1,470.3,739.1,714.7,192.6,272.2,33.4,452.6,416.6,758.0,551.6
0.0004900000000000001,854.8,138.7,130.9,187.0,699.4,866.6,312.9,169.2,490.3,783.0,471.0,738.8,715.4,193.0,272.3,33.6,452.7,415.8,756.1,553.9
0.0005000000000000001,853.0,138.6,131.3,186.3,696.5,865.5,315.4,168.8,490.0,783.9,471.7,738.8,716.5,193.2,272.2,34.0,453.1,414.6,753.4,556.4
0.00051,852.3,138.5,131.4,185.5,693.1,865.4,316.9,169.2,490.1,784.3,472.7,738.4,716.6,193.5,272.0,34.5,454.3,412.8,751.6,558.6
0.00052,850.8,138.1,132.2,184.6,691.2,864.8,317.7,169.0,490.0,784.8,473.9,738.1,717.2,193.9,272.0,34.9,454.6,411.3,750.4,560.2
0.0005300000000000001,848.9,137.6,132.3,183.8,689.1,864.7,318.2,168.8,488.8,785.1,475.0,738.8,717.3,194.6,271.8,35.6,455.0,410.1,749.2,561.9
0.0005399999999999999,847.4,137.5,132.4,183.1,686.1,864.3,320.4,168.9,487.7,786.2,475.4,739.5,717.7,195.0,271.5,36.3,455.8,408.5,746.6,564.1
0.00055,845.3,137.2,132.4,182.0,683.3,863.4,321.5,168.7,487.0,787.0,476.2,739.9,718.6,195.7,271.1,37.0,456.5,407.1,744.8,566.2
0.00056,843.0,137.0,132.6,181.2,680.7,862.3,323.3,168.7,485.8,787.7,477.1,740.2,719.7,196.1,270.9,38.1,456.8,405.5,742.6,568.5
0.0005700000000000001,842.1,136.3,132.6,180.9,678.3,861.8,324.8,168.3,485.7,787.9,477.9,739.8,720.2,196.9,270.8,38.7,456.8,404.9,740.3,570.9
0.0005799999999999999,840.9,135.9,133.0,180.3,676.5,861.7,325.9,167.9,485.1,788.5,479.1,739.7,720.3,197.2,270.9,39.3,457.2,403.5,738.9,572.3
0.0005900000000000001,839.6,135.7,133.2,179.3,674.4,861.5,327.4,167.2,484.3,789.3,479.7,740.2,720.5,197.4,270.9,39.6,457.4,402.8,737.2,574.2
0.0006,838.6,135.4,133.7,178.0,672.0,861.2,328.9,166.8,483.8,790.6,480.5,740.1,720.8,197.5,271.1,40.0,458.2,401.1,735.6,575.8
0.0006100000000000002,837.9,134.8,133.8,177.3,668.8,861.1,330.3,167.1,483.5,791.2,481.3,739.9,720.9,198.2,271.0,40.6,459.2,399.4,733.5,578.0
