Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U0L0,U0L1,U1L0,U1L3,U1L4,U2L4,U2L0,U3L2,U3L0
0.0,519.0,993.0,877.0,39.0,378.0,603.0,109.0,305.0,409.0,651.0,470.0,939.0,614.0,728.0,466.0,822.0,535.0,129.0
1e-05,515.9,992.7,876.4,38.8,378.4,602.6,109.0,304.7,405.1,653.7,470.4,936.3,614.3,730.7,467.2,821.4,535.0,129.2
2e-05,512.1,993.0,876.0,38.8,377.3,602.3,109.1,304.7,402.5,657.2,470.7,933.8,614.3,732.9,467.6,821.4,534.9,129.3
3.0000000000000004e-05,507.9,993.2,876.4,38.6,377.4,601.7,109.2,304.4,399.4,660.8,471.3,931.5,614.6,734.7,468.9,819.7,534.8,129.6
4e-05,504.2,993.3,876.5,38.4,377.3,601.2,109.2,304.1,396.6,664.0,471.8,929.1,614.9,736.7,469.7,818.8,534.8,129.8
5.000000000000001e-05,500.1,992.8,877.3,38.5,376.4,600.8,109.2,303.9,394.4,667.7,472.2,927.7,615.1,738.4,470.2,817.5,534.8,129.7
6.000000000000001e-05,496.2,993.7,877.1,38.7,376.8,600.4,109.2,303.8,391.5,671.2,472.6,925.4,615.2,739.7,471.8,816.1,534.8,129.5
7e-05,492.9,994.1,876.1,38.7,376.0,600.2,109.3,303.8,388.5,674.3,472.8,923.6,615.2,741.1,473.4,815.5,534.7,129.6
8e-05,489.8,994.1,875.2,39.0,376.1,599.6,109.3,303.3,385.8,676.8,473.4,921.2,615.7,743.0,474.2,815.6,534.7,129.3
9e-05,486.4,993.8,874.8,39.1,375.3,599.1,109.5,303.1,383.1,679.7,473.9,919.5,615.9,744.8,475.1,815.1,534.5,129.4
0.00010000000000000002,483.4,994.0,873.9,39.2,374.9,598.5,109.6,303.2,380.3,682.1,474.5,917.9,615.8,746.3,476.4,814.7,534.4,129.4
0.00011,480.2,994.2,873.4,39.2,373.5,598.3,109.9,303.1,378.2,685.1,474.7,916.2,615.9,747.7,477.1,814.5,534.1,129.7
0.00012000000000000002,476.6,994.7,872.6,39.3,373.1,597.9,110.0,302.5,375.7,688.3,475.1,914.3,616.5,748.5,478.8,813.6,534.0,129.7
0.00013,473.4,994.8,871.7,39.3,372.6,597.5,110.1,302.1,372.9,691.1,475.5,911.6,616.9,750.7,479.4,813.9,533.9,129.8
0.00014,469.6,995.4,871.5,39.1,372.4,596.8,110.1,301.5,370.8,694.2,476.2,909.1,617.5,752.0,480.2,813.3,533.9,130.0
0.00015,466.9,994.4,871.7,39.0,371.5,596.4,110.2,301.1,368.8,696.5,476.6,907.3,617.9,754.4,479.8,813.5,533.8,130.2
0.00016,463.3,993.7,871.7,39.1,370.5,596.1,110.3,300.5,366.4,699.8,476.9,905.2,618.5,756.6,480.0,813.3,533.7,130.2
0.00017,460.0,994.1,871.7,38.7,370.1,595.7,110.5,300.0,364.2,702.7,477.3,902.9,619.0,758.0,480.8,812.5,533.5,130.8
0.00018,457.8,992.7,872.3,38.4,369.8,595.2,110.8,299.7,361.7,704.4,477.8,902.1,619.3,759.9,481.4,811.3,533.2,131.4
0.00019000000000000004,453.1,992.8,872.5,38.4,369.4,594.4,110.9,299.1,359.0,708.3,478.6,899.4,619.9,761.9,482.1,810.4,533.1,131.5
0.00020000000000000004,450.5,992.4,872.0,38.2,368.7,594.1,111.0,298.6,356.7,710.6,478.9,897.2,620.4,764.0,482.3,810.7,533.0,131.8
0.00021000000000000006,447.3,993.1,871.3,38.1,368.2,593.5,111.1,298.6,354.4,713.2,479.5,895.0,620.4,765.5,483.1,810.6,532.9,132.0
0.00022,445.3,992.4,871.3,38.2,368.9,593.0,111.1,298.5,351.7,714.7,480.0,893.6,620.5,767.5,483.8,809.9,532.9,131.9
0.00023,442.7,992.6,870.0,38.2,368.9,592.5,111.0,298.1,349.0,716.8,480.5,891.4,620.9,769.1,484.9,810.1,533.0,131.8
0.00024000000000000003,439.3,992.7,870.2,38.1,368.9,592.0,111.0,297.6,346.8,719.7,481.0,889.2,621.4,770.7,485.5,809.3,533.0,131.9
0.00025000000000000006,436.5,993.2,870.7,37.7,369.1,591.6,111.2,297.4,344.8,722.1,481.4,886.6,621.6,772.6,485.6,808.7,532.8,132.5
0.00026,432.6,993.5,871.0,37.7,368.5,590.8,111.4,297.3,342.8,725.2,482.2,884.8,621.7,774.0,486.2,807.8,532.6,132.7
0.00026999999999999995,429.7,993.4,871.0,37.7,369.0,590.3,111.4,296.8,340.3,727.6,482.7,882.7,622.2,775.7,487.0,807.0,532.6,132.7
0.00028,426.0,993.0,870.8,37.9,368.1,589.6,111.5,297.0,337.5,730.6,483.4,881.1,622.0,777.9,487.6,806.6,532.5,132.6
0.00028999999999999995,423.2,992.1,870.6,37.9,367.5,588.8,111.5,296.9,335.1,732.6,484.2,879.7,622.1,780.1,487.8,806.6,532.5,132.6
0.0003,420.6,992.0,870.2,37.7,366.4,588.4,111.5,296.7,333.5,734.8,484.6,878.4,622.3,781.3,488.2,806.6,532.5,132.8
0.00031,417.2,991.9,870.5,37.6,366.1,588.0,111.5,296.3,331.3,737.8,485.0,876.1,622.7,783.3,488.4,806.1,532.5,132.9
0.00032,414.2,991.7,870.0,37.7,365.6,588.0,111.5,295.7,328.8,740.8,485.0,874.1,623.3,784.9,489.3,805.7,532.5,132.8
0.00033000000000000005,411.4,991.6,869.3,37.6,364.7,587.4,111.5,295.2,327.1,743.0,485.6,872.7,623.8,785.9,490.0,805.7,532.5,132.9
0.00034,408.8,991.6,869.3,37.2,363.5,587.4,111.6,295.2,325.2,745.6,485.6,871.6,623.8,787.0,490.8,804.9,532.4,133.4
0.00035000000000000005,406.3,990.7,869.1,37.0,362.2,587.2,111.7,294.5,323.5,747.9,485.8,870.4,624.5,788.4,491.1,804.8,532.3,133.7
0.00036,403.6,989.6,869.0,37.0,361.6,586.1,112.0,293.9,321.6,749.5,486.9,869.2,625.1,790.1,491.3,804.7,532.0,134.0
0.00037000000000000005,401.2,989.1,868.6,36.9,360.9,586.2,112.3,293.4,319.0,752.0,486.8,867.8,625.6,791.5,492.5,803.9,531.7,134.4
0.0003800000000000001,397.9,989.0,868.4,37.0,359.6,585.8,112.5,292.9,317.5,754.9,487.2,866.9,626.1,792.0,493.5,803.1,531.5,134.5
0.0003900000000000001,395.0,987.4,868.6,37.1,358.1,585.3,112.5,292.1,316.1,757.3,487.7,866.1,626.9,793.6,493.3,803.1,531.5,134.4
0.0004000000000000001,392.5,986.9,868.6,37.0,357.2,585.2,112.8,292.3,313.5,759.7,487.8,864.9,626.7,795.5,494.0,802.4,531.2,134.8
